Pixel FlatCorrection LaserCorrection TotalCorrection
793 1.0000 0.9989 0.9989
794 1.0001 0.9972 0.9973
795 1.0001 0.9972 0.9973
796 1.0004 0.9989 0.9993
797 1.0004 0.9972 0.9976
798 1.0002 0.9989 0.9991
799 1.0003 0.9972 0.9975
800 1.0015 0.9898 0.9913
801 1.0012 0.9917 0.9929
802 1.0015 0.9917 0.9932
803 1.0018 0.9898 0.9916
804 1.0025 0.9878 0.9903
805 1.0032 0.9858 0.9890
806 1.0029 0.9878 0.9907
807 1.0029 0.9858 0.9887
808 1.0025 0.9858 0.9883
809 1.0018 0.9878 0.9896
810 1.0021 0.9878 0.9899
811 1.0022 0.9858 0.9880
812 1.0025 0.9898 0.9923
813 1.0022 0.9917 0.9939
814 1.0021 0.9898 0.9919
815 1.0018 0.9917 0.9935
816 1.0012 0.9989 1.0001
817 1.0016 0.9989 1.0005
818 1.0013 0.9972 0.9985
819 1.0017 0.9972 0.9989
820 1.0014 0.9954 0.9968
821 1.0016 0.9936 0.9952
822 1.0018 0.9954 0.9972
823 1.0020 0.9936 0.9956
824 1.0007 0.9972 0.9979
825 1.0010 0.9972 0.9982
826 1.0006 0.9989 0.9995
827 1.0009 0.9989 0.9998
828 1.0010 0.9936 0.9946
829 1.0008 0.9954 0.9962
830 1.0013 0.9936 0.9949
831 1.0011 0.9954 0.9965
832 1.0025 1.0115 1.0140
833 1.0022 1.0115 1.0137
834 1.0021 1.0101 1.0122
835 1.0018 1.0101 1.0119
836 1.0025 1.0101 1.0126
837 1.0029 1.0101 1.0130
838 1.0032 1.0115 1.0147
839 1.0029 1.0115 1.0144
840 1.0015 1.0087 1.0102
841 1.0012 1.0073 1.0085
842 1.0015 1.0073 1.0088
843 1.0018 1.0087 1.0105
844 1.0018 1.0073 1.0091
845 1.0022 1.0073 1.0095
846 1.0025 1.0087 1.0112
847 1.0021 1.0087 1.0108
848 1.0014 1.0043 1.0057
849 1.0016 1.0058 1.0074
850 1.0020 1.0058 1.0078
851 1.0018 1.0043 1.0061
852 1.0010 1.0058 1.0068
853 1.0011 1.0043 1.0054
854 1.0008 1.0043 1.0051
855 1.0013 1.0058 1.0071
856 1.0012 1.0011 1.0023
857 1.0016 1.0011 1.0027
858 1.0017 1.0027 1.0044
859 1.0013 1.0027 1.0040
860 1.0006 1.0011 1.0017
861 1.0007 1.0027 1.0034
862 1.0009 1.0011 1.0020
863 1.0010 1.0027 1.0037
864 1.0013 1.0087 1.0100
865 1.0010 1.0073 1.0083
866 1.0008 1.0073 1.0081
867 1.0011 1.0087 1.0098
868 1.0013 1.0101 1.0114
869 1.0016 1.0115 1.0131
870 1.0012 1.0101 1.0113
871 1.0017 1.0115 1.0132
872 1.0018 1.0115 1.0133
873 1.0016 1.0101 1.0117
874 1.0014 1.0101 1.0115
875 1.0020 1.0115 1.0135
876 1.0009 1.0087 1.0096
877 1.0006 1.0073 1.0079
878 1.0010 1.0087 1.0097
879 1.0007 1.0073 1.0080
880 1.0001 1.0011 1.0012
881 1.0000 1.0011 1.0011
882 1.0001 1.0027 1.0028
883 1.0001 1.0027 1.0028
884 1.0003 1.0043 1.0046
885 1.0004 1.0058 1.0062
886 1.0002 1.0043 1.0045
887 1.0004 1.0058 1.0062
888 1.0004 1.0027 1.0031
889 1.0003 1.0027 1.0030
890 1.0004 1.0011 1.0015
891 1.0002 1.0011 1.0013
892 1.0007 1.0058 1.0065
893 1.0006 1.0043 1.0049
894 1.0006 1.0058 1.0064
895 1.0004 1.0043 1.0047
896 1.0024 1.0131 1.0155
897 1.0026 1.0131 1.0157
898 1.0029 1.0143 1.0172
899 1.0031 1.0143 1.0174
900 1.0028 1.0143 1.0171
901 1.0027 1.0143 1.0170
902 1.0022 1.0131 1.0153
903 1.0023 1.0131 1.0154
904 1.0037 1.0155 1.0193
905 1.0043 1.0167 1.0211
906 1.0041 1.0167 1.0209
907 1.0035 1.0155 1.0191
908 1.0040 1.0167 1.0208
909 1.0040 1.0167 1.0208
910 1.0033 1.0155 1.0189
911 1.0034 1.0155 1.0190
912 1.0055 1.0188 1.0244
913 1.0047 1.0178 1.0226
914 1.0047 1.0178 1.0226
915 1.0054 1.0188 1.0243
916 1.0050 1.0178 1.0229
917 1.0056 1.0188 1.0245
918 1.0058 1.0188 1.0247
919 1.0048 1.0178 1.0227
920 1.0071 1.0208 1.0280
921 1.0071 1.0208 1.0280
922 1.0062 1.0198 1.0261
923 1.0063 1.0198 1.0262
924 1.0074 1.0208 1.0284
925 1.0066 1.0198 1.0265
926 1.0072 1.0208 1.0281
927 1.0064 1.0198 1.0263
928 1.0039 1.0155 1.0195
929 1.0046 1.0167 1.0214
930 1.0048 1.0167 1.0216
931 1.0042 1.0155 1.0198
932 1.0040 1.0143 1.0184
933 1.0038 1.0131 1.0169
934 1.0044 1.0143 1.0188
935 1.0034 1.0131 1.0165
936 1.0031 1.0131 1.0162
937 1.0033 1.0143 1.0176
938 1.0036 1.0143 1.0180
939 1.0028 1.0131 1.0159
940 1.0049 1.0155 1.0205
941 1.0056 1.0167 1.0224
942 1.0045 1.0155 1.0201
943 1.0052 1.0167 1.0220
944 1.0083 1.0208 1.0293
945 1.0087 1.0208 1.0297
946 1.0074 1.0198 1.0273
947 1.0078 1.0198 1.0278
948 1.0066 1.0188 1.0255
949 1.0059 1.0178 1.0238
950 1.0070 1.0188 1.0259
951 1.0063 1.0178 1.0242
952 1.0068 1.0198 1.0267
953 1.0071 1.0198 1.0270
954 1.0077 1.0208 1.0287
955 1.0079 1.0208 1.0289
956 1.0052 1.0178 1.0231
957 1.0060 1.0188 1.0249
958 1.0055 1.0178 1.0234
959 1.0063 1.0188 1.0252
960 1.0172 1.0268 1.0445
961 1.0169 1.0268 1.0442
962 1.0159 1.0263 1.0426
963 1.0156 1.0263 1.0423
964 1.0162 1.0263 1.0429
965 1.0166 1.0263 1.0433
966 1.0179 1.0268 1.0452
967 1.0175 1.0268 1.0448
968 1.0143 1.0257 1.0404
969 1.0131 1.0250 1.0384
970 1.0134 1.0250 1.0387
971 1.0146 1.0257 1.0407
972 1.0137 1.0250 1.0390
973 1.0141 1.0250 1.0395
974 1.0154 1.0257 1.0415
975 1.0149 1.0257 1.0410
976 1.0115 1.0235 1.0353
977 1.0126 1.0243 1.0372
978 1.0130 1.0243 1.0376
979 1.0119 1.0235 1.0357
980 1.0120 1.0243 1.0366
981 1.0111 1.0235 1.0349
982 1.0109 1.0235 1.0347
983 1.0122 1.0243 1.0368
984 1.0095 1.0219 1.0316
985 1.0099 1.0219 1.0320
986 1.0108 1.0227 1.0337
987 1.0104 1.0227 1.0333
988 1.0088 1.0219 1.0309
989 1.0098 1.0227 1.0327
990 1.0091 1.0219 1.0312
991 1.0101 1.0227 1.0330
992 1.0141 1.0257 1.0402
